Заголовок;Производитель;Тип автомата;Количество линий;Количество барабанов;Мин ставка на линию;Макс ставка на линию;Джектпот;Процент отдачи;Бонусная игра;Прогрессивный джекпот;Символ Wild;Символ Scatter;Автоматическая игра;Мультиплеер;Бесплатные спины
Spectra;Thunderkick;Видео-слоты;30;5;0;0;2;96.4%;no;no;yes;no;yes;no;yes
Flip Flap;SkillOnNet;Видео-слоты;10;5;1;3;2500;94.9%;yes;no;yes;yes;yes;yes;yes
Baywatch;Playtech;Видео-слоты;30;5;1;1;1000;95.48%;yes;no;yes;yes;yes;no;yes
Photo Safari Slot;Play\'n GO;Видео-слоты;20;5;1;5;5000;94%;yes;no;yes;yes;yes;no;yes
Miles Bellhouse and Curious Machine Slot;Betsoft;Видео-слоты;30;5;1;5;1500;95.5%;yes;no;yes;yes;yes;yes;yes
Crystal Forest Slot;WMS (Williams Interactive);Видео-слоты;25;5;1;1;Неизвестно;96%;no;no;yes;no;yes;no;no
Freaky Fruit;888 Gaming;Видео-слоты;9;5;1;1;2500;96%;yes;no;yes;yes;yes;no;yes
Andre the Giant;NextGen Gaming;Видео-слоты;25;5;1;1;5000;95.5%;yes;no;yes;yes;yes;yes;yes
Phoenix Sun Slot;Quickspin;Видео-слоты;243;5;0;0;1;96.08%;no;no;yes;Неизвестно;yes;no;yes
Charms and Witches Slot;NextGen Gaming;Видео-слоты;25;5;1;0;500;95.53%;no;no;yes;yes;yes;no;yes
Cowboys & Aliens;IGT (WagerWorks);Видео-слоты;9;5;1;1;10000;Неизвестно;yes;no;yes;yes;yes;yes;yes
The Last Pharaoh;Saucify (BetOnSoft);Видео-слоты;25;5;1;5;2000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Apollo Rising;IGT (WagerWorks);Видео-слоты;100;5;1;1;300;92.56%;no;no;yes;no;yes;no;no
Nemo's Voyage Slot;WMS (Williams Interactive);Видео-слоты;40;5;1;1;3;Неизвестно;no;no;yes;yes;Неизвестно;yes;yes
The Elf Wars Slot;Real Time Gaming;Прогрессивные слоты;50;5;1;1;Прогрессивный;95%;yes;yes;yes;yes;yes;yes;yes
Wizard of Gems Slot;Play\'n GO;Видео-слоты;20;5;1;1;500;Неизвестно;no;no;yes;yes;yes;yes;yes
Dragon Shrine Slot;Quickspin;Видео-слоты;40;5;0;0;2;Неизвестно;no;Неизвестно;yes;yes;yes;no;yes
Gнетme Sweet Home;Rival;Видео-слоты;50;5;1;10;5000;96%;yes;no;yes;yes;yes;yes;yes
Thundering Zeus Slot;Amaya (Chartwell);Видео-слоты;20;5;1;10;10000;97%;yes;no;yes;yes;yes;yes;yes
Fortunes of the Fox Slot;Playtech;Видео-слоты;25;5;1;1;5000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Golden Gorilla Slot;Rival;Видео-слоты;50;5;1;10;400;94.26%;yes;no;yes;yes;yes;yes;yes
Small Fortune;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Rumpel УайлдSpins Slot;нетvomatic;Видео-слоты;20;5;1;1;20000;95.1%;no;no;yes;yes;yes;no;yes
Crystal Queen Slot;Quickspin;Видео-слоты;56;5;1;1;250;Неизвестно;yes;no;yes;yes;yes;yes;yes
The Reel Deluxe;Slotland Entertainment;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;no;no
Busted;Slotland Entertainment;Прогрессивные слоты;17;5;1;1;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;no;yes
1Can 2Can;NextGen Gaming;Видео-слоты;25;5;1;1;1000;Неизвестно;yes;no;yes;yes;yes;no;yes
Gemscapades Slot;Betsoft;Видео-слоты;10;5;1;10;250;95.5%;no;no;yes;no;yes;no;no
Hot Sync Slot;Quickspin;Видео-слоты;20;5;1;1;10;96.29%;no;no;yes;yes;yes;yes;yes
Zombiezee Money Slot;Rival;Видео-слоты;20;5;1;10;4000;95%;yes;no;yes;yes;yes;yes;yes
Festival Queens;2 By 2 Gaming;Видео-слоты;40;5;1;20;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Head Hunter;NuWorks;Прогрессивные слоты;50;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Jurassic Island;BGO Studios (BGO Entertainment);Видео-слоты;25;5;1;1;1000;96.5%;yes;no;yes;yes;yes;yes;yes
Ice Picks Slot;Rival;Видео-слоты;20;5;1;10;9000;90%;yes;no;yes;yes;yes;yes;yes
Cats and Cash Slot;Play\'n GO;Видео-слоты;15;5;1;5;10000;94.12%;yes;no;yes;yes;yes;no;no
Wings of Gold;Playtech;Видео-слоты;20;5;1;1;5000;96%;no;no;yes;yes;yes;no;yes
Viking Mania Slot;Playtech;Видео-слоты;20;5;1;1;10000;97%;yes;no;yes;yes;yes;yes;yes
Temptation Queen;WMS (Williams Interactive);Видео-слоты;30;5;1;1;15;95.99%;no;no;yes;yes;yes;yes;no
Legends of Olympia Slot;Saucify (BetOnSoft);Видео-слоты;50;5;1;5;6000;Неизвестно;no;no;yes;yes;yes;yes;yes
Frontside Spins;Saucify (BetOnSoft);Видео-слоты;9;5;1;5;7500;Неизвестно;no;no;yes;yes;yes;yes;yes
Pub Crawlers Slot;Rival;Видео-слоты;20;5;1;10;2000;94%;yes;no;yes;yes;yes;yes;yes
Dungeons and Dragons: Treasures of Icewind Dale;IGT (WagerWorks);Видео-слоты;30;5;1;1;500;96.52%;no;no;yes;yes;yes;no;yes
The Bees Buzz Slot;SkillOnNet;Видео-слоты;10;5;1;1;5000;95.7%;yes;no;yes;yes;yes;yes;yes
Wizard of Odds Slot;SkillOnNet;Видео-слоты;30;5;1;1;100000;95.5%;yes;no;yes;yes;yes;yes;yes
Under the Sea Slot;Betsoft;Видео-слоты;30;5;1;5;400;95.5%;yes;no;yes;yes;yes;yes;yes
Tycoon Towers Slot;Rival;Видео-слоты;50;5;1;1;600;Неизвестно;no;no;yes;yes;yes;yes;yes
Glitz and Glamour;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Thunderbird;Rival;Видео-слоты;50;5;1;10;600;Неизвестно;no;no;yes;yes;yes;yes;yes
5 Knights Slot;NextGen Gaming;Видео-слоты;25;5;1;1;500;Неизвестно;no;no;yes;yes;yes;yes;yes
Yahtzee;WMS (Williams Interactive);Видео-слоты;25;5;1;1;0;96%;yes;no;yes;yes;yes;yes;no
Dark Thirst Slot;1x2Gaming;Видео-слоты;25;5;1;5;500;97.3%;no;no;yes;yes;yes;no;no
Magic Mirror Slot;Edict (Merkur Gaming);Видео-слоты;10;5;1;1;50;95.94%;no;no;yes;yes;yes;no;yes
Big Foot Slot;NextGen Gaming;Видео-слоты;25;5;1;1;5000;95.01%;yes;no;yes;yes;yes;no;yes
Grand Monarch Slot;IGT (WagerWorks);Видео-слоты;50;5;1;1;1000;95%;no;no;yes;yes;yes;no;yes
4 Seasons Slot;Betsoft;Видео-слоты;30;5;1;5;2400;Неизвестно;no;no;yes;yes;yes;yes;yes
Madder Scientist Slot;Betsoft;Видео-слоты;30;5;1;5;500;95%;yes;no;yes;yes;yes;no;yes
Paradise Beach Slot;SkillOnNet;Видео-слоты;20;5;1;1;7000;96%;yes;no;yes;yes;yes;yes;yes
Fast Lane Slot;Rival;Видео-слоты;50;5;1;10;8888;94%;yes;no;yes;yes;yes;yes;yes
Queen of Wands Slot;Playtech;Видео-слоты;40;5;1;1;1000;Неизвестно;no;no;yes;yes;yes;no;yes
The Heat is On!;NuWorks;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Silk Caravan;NuWorks;Прогрессивные слоты;50;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Samba!;NuWorks;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Mammoth Wins;NuWorks;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Judo Ferret;NuWorks;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Crystal Ball;NuWorks;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Run Chicken Run Slot;GamesOS/CTXM;Видео-слоты;30;5;1;1;5000;95%;yes;no;yes;yes;yes;no;no
Tomahawk Slot;Saucify (BetOnSoft);Видео-слоты;243;5;1;5;700;Неизвестно;yes;no;yes;yes;yes;yes;yes
Aztec Princess;Play\'n GO;Видео-слоты;20;5;1;5;1000;Неизвестно;no;no;yes;yes;yes;no;yes
Potion Factory;Leander Games;Видео-слоты;40;5;1;1;500;96.99%;yes;no;yes;yes;yes;no;yes
Troll Hunters Slot;Play\'n GO;Видео-слоты;0;5;1;1;100;96.73%;yes;no;yes;yes;yes;yes;yes
Flame Dancer;нетvomatic;Видео-слоты;20;5;1;100;2000;Неизвестно;no;no;yes;yes;yes;yes;no
True Illusions Slot;Betsoft;Видео-слоты;30;5;1;5;500;97%;yes;no;yes;yes;yes;no;yes
Golden Jaguar Slot;Amaya (Chartwell);Видео-слоты;50;5;1;1;750;95%;no;no;yes;yes;yes;yes;yes
Maid O' Money;NextGen Gaming;Видео-слоты;25;5;1;1;1000;Неизвестно;yes;no;yes;yes;yes;yes;yes
King Arthur;Ash Gaming;Видео-слоты;20;5;1;1;300;94.8%;yes;no;yes;yes;yes;yes;no
Уайлд Gambler Slot;Ash Gaming;Видео-слоты;20;5;1;1;800;96.6%;no;no;yes;no;yes;yes;yes
Tycoons Slot;Betsoft;Прогрессивные слоты;30;5;1;5;Прогрессивный;93.5%;yes;yes;yes;yes;yes;yes;yes
River of Riches Slot;Rabcat;Видео-слоты;25;5;1;1;8000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Chests of Plenty;Ash Gaming;Прогрессивные слоты;20;5;1;20;2000;93.07%;yes;yes;yes;yes;yes;yes;no
Zuma;Gamesys;Видео-слоты;20;5;1;1;10000;95.5%;no;no;yes;yes;no;yes;yes
Gold Rush Showdown;Ash Gaming;Прогрессивные слоты;20;5;1;1;500;97.6%;no;yes;yes;yes;yes;yes;no
Columbus;нетvomatic;Видео-слоты;9;5;1;1;50000;97%;no;no;yes;yes;yes;no;yes
Mega Glam Life;Betsoft;Видео-слоты;20;5;1;1;5000;Неизвестно;no;no;yes;yes;yes;yes;yes
Cirque du Slots;Rival;Видео-слоты;25;5;1;10;300;Неизвестно;no;no;yes;yes;yes;yes;yes
Paco and the Popping Peppers Slot;Betsoft;Видео-слоты;30;5;1;5;500;94%;yes;no;no;no;yes;yes;no
Fast Track Slot;Amaya (Chartwell);Видео-слоты;9;5;1;5;2500;91%;yes;no;yes;yes;yes;yes;no
Magic Pot Slot;GamesOS/CTXM;Видео-слоты;25;5;1;1;6000;94.5%;yes;no;yes;yes;yes;no;no
Miss White;IGT (WagerWorks);Видео-слоты;1024;5;1;1;150;Неизвестно;yes;no;yes;yes;yes;yes;yes
Gushers Gold;Rival;Видео-слоты;20;5;1;10;1000;94%;yes;no;yes;yes;yes;yes;yes
House of Fun Slot;Betsoft;Видео-слоты;30;5;1;5;150;95%;yes;no;no;yes;no;no;yes
Beowulf;Pragmatic Play;Видео-слоты;40;5;1;10;2500;Неизвестно;no;no;yes;yes;yes;yes;yes
Forest Mania;iSoftBet;Видео-слоты;100;10;0;0;250;95.62%;no;no;yes;yes;yes;no;yes
Gingerbread Lane Slot;Genesis Gaming;Видео-слоты;25;5;1;10;1000;95.555%;yes;no;yes;yes;yes;yes;yes
Summer Ease Slot;Rival;Видео-слоты;20;5;1;10;8888;94%;yes;no;yes;yes;yes;yes;yes
Grail Maiden;WGS Techнетlogy (Vegas Techнетlogy);Видео-слоты;0;5;1;1;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Tails of New York Slot;Saucify (BetOnSoft);Видео-слоты;40;5;1;10;7000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Werewolf Уайлд;Aristocrat;Видео-слоты;25;5;1;1;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Eye of Ra;NuWorks;Прогрессивные слоты;50;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
Alaskan Sun;NuWorks;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Prowling Panther Slot;IGT (WagerWorks);Видео-слоты;720;5;1;1;500;96.09%;no;no;yes;yes;yes;yes;yes
Rock On;Rival;Видео-слоты;20;5;1;10;4000;97%;yes;no;yes;yes;yes;yes;yes
Elvis the King Lives Slot;WMS (Williams Interactive);Видео-слоты;80;11;1;1;5;96.09%;no;no;yes;yes;yes;no;no
Loose Caboose;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Sea Captain;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
God of Wealth Slot;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;Неизвестно;no;yes;no;yes;yes;yes;yes
Jungle Trouble Slot;Playtech;Видео-слоты;15;5;1;1;1000;96.04%;no;no;yes;yes;yes;yes;yes
Star Trek Red Alert Slot;WMS (Williams Interactive);Видео-слоты;25;5;1;1;2000;92%;yes;no;yes;yes;yes;yes;yes
Fame and Fortune;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Aztec's Millions;Real Time Gaming;Прогрессивные слоты;25;5;1;1;Прогрессивный;95%;yes;yes;yes;yes;yes;yes;yes
Barbary Coast Slot;Betsoft;Видео-слоты;30;5;1;5;300;93%;yes;no;no;no;no;no;yes
Diamond Cats;Amatic Industries;Видео-слоты;20;5;1;1;1000;Неизвестно;no;no;yes;yes;yes;no;yes
Big Shot;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Victory;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Triple Toucan;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Western Belles;IGT (WagerWorks);Видео-слоты;40;5;1;1;1000;96.32%;no;no;yes;yes;yes;yes;yes
Fandango's;Pragmatic Play;Видео-слоты;15;5;1;1;10000;Неизвестно;yes;no;yes;yes;yes;no;yes
Savanna King Slot;Genesis Gaming;Видео-слоты;1024;5;1;1;800;96.21%;no;no;yes;yes;yes;yes;yes
Pink Elephants Slot;Thunderkick;Видео-слоты;4096;6;0;0;1;96.1%;yes;no;yes;yes;yes;no;yes
What's Cooking;Playtech;Видео-слоты;30;5;1;0;1000;93%;yes;no;yes;yes;yes;no;yes
Diggin' Deep;Rival;Видео-слоты;20;5;1;10;1000;92.41%;yes;no;yes;yes;yes;yes;yes
Gold Diggers Slot;Betsoft;Видео-слоты;30;5;1;5;500;93%;yes;no;no;no;yes;no;no
Choy Sun Doa Slot;Aristocrat;Видео-слоты;243;5;1;1;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Five Reel Bingo Slot;Rival;Видео-слоты;20;5;1;10;2500;Неизвестно;yes;no;yes;yes;yes;yes;yes
Arabian Tales Slot;Rival;Видео-слоты;50;5;1;10;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Juju Jack;Amaya (Chartwell);Видео-слоты;25;5;1;1;2000;Неизвестно;no;no;yes;yes;yes;no;yes
Tally Ho;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Razortooth Slot;Quickspin;Видео-слоты;243;5;1;1;200;Неизвестно;no;no;yes;yes;yes;yes;yes
Emerald Isle;Amaya (Chartwell);Видео-слоты;20;5;1;1;6000;94.5%;yes;no;yes;yes;yes;yes;yes
Witch Pickings Slot;NextGen Gaming;Видео-слоты;25;5;1;1;Прогрессивный;95.79-95.93%;no;yes;yes;yes;no;yes;yes
Captain Nemo;Amaya (Chartwell);Видео-слоты;20;5;1;1;25000;Неизвестно;yes;no;yes;yes;yes;yes;no
So 80s;Rival;Видео-слоты;15;5;1;5;5000;96%;no;no;yes;yes;yes;yes;yes
Silver Bullet Slot;Playtech;Видео-слоты;9;5;1;1;10000;96.8%;no;no;yes;yes;yes;yes;no
Scary Rich Slot;Rival;Видео-слоты;20;5;1;10;10000;95%;no;no;yes;yes;yes;yes;yes
Graveyard Shift;Pragmatic Play;Видео-слоты;25;5;0;125;3000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Pigskin Payout;Rival;Видео-слоты;20;5;1;10;7500;94%;yes;no;yes;yes;yes;yes;yes
Second Strike! Slot;Quickspin;Видео-слоты;10;5;1;1;10;96.22%;no;no;yes;yes;yes;no;no
Cool Stone Age;Pragmatic Play;Видео-слоты;20;5;1;1;10000;Неизвестно;yes;no;yes;yes;yes;no;yes
Penguin Power;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Texas Tea Slot;IGT (WagerWorks);Видео-слоты;9;5;1;5;10000;97.35%;yes;no;no;yes;no;no;no
Roll Out the Barrels;Rival;Видео-слоты;20;5;1;10;2500;94%;yes;no;yes;yes;yes;yes;yes
Teddy Bear's Picnic;NextGen Gaming;Видео-слоты;25;5;1;1;500;Неизвестно;no;no;yes;yes;yes;no;yes
Mermaid Queen Slot;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Skulls of Legend Slot;iSoftBet;Видео-слоты;30;5;1;0;2500;Неизвестно;no;no;yes;yes;yes;Неизвестно;yes
Gulliver's Travels;Amaya (Chartwell);Видео-слоты;243;5;1;1;10000;Неизвестно;no;no;yes;yes;yes;yes;yes
The Zombies;Amaya (Chartwell);Видео-слоты;50;5;1;5;2500;Неизвестно;yes;no;no;yes;yes;yes;yes
Gold Ahoy;Amaya (Chartwell);Видео-слоты;25;5;1;1;10000;95.38%;yes;no;yes;yes;yes;yes;yes
Knights and Maidens;888 Gaming;Видео-слоты;25;5;1;1;5000;96%;yes;no;yes;yes;yes;no;yes
Sunset Delight Slot;Thunderkick;Видео-слоты;5;3;0;0;0;96.3%;Неизвестно;no;yes;yes;yes;no;yes
Glorious Empire;NextGen Gaming;Видео-слоты;40;5;1;0;4000;96.92%;no;no;yes;yes;yes;no;yes
Wizard of Odds Slot;нетvomatic;Видео-слоты;30;5;1;1;50000;Неизвестно;yes;yes;yes;yes;yes;yes;yes
Red Baron;Aristocrat;Видео-слоты;243;5;0;0;1500;Неизвестно;no;no;yes;yes;yes;yes;yes
Book of Aztec;Amatic Industries;Видео-слоты;10;5;1;1;10000;Неизвестно;no;no;yes;yes;yes;yes;yes
Ice Queen;Slotland Entertainment;Прогрессивные слоты;21;5;1;1;Прогрессивный;Неизвестно;yes;yes;yes;yes;yes;no;no
Уайлд Alaska;Slotland Entertainment;Прогрессивные слоты;20;5;1;1;Прогрессивный;Неизвестно;no;yes;yes;yes;yes;yes;yes
A Dragon's Story Slot;NextGen Gaming;Видео-слоты;25;5;1;1;2000;95.223-95.618%;yes;no;yes;yes;yes;no;yes
Hillbillies Slot;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Golden Tour Slot;Playtech;Видео-слоты;5;5;1;1;2000;97.7%;yes;no;yes;yes;yes;no;no
Moon Temple;Amaya (Chartwell);Видео-слоты;80;6;1;1;80000;Неизвестно;yes;no;yes;yes;yes;no;yes
Goldbeard Slot;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Great Уайлд Elk Slot;NextGen Gaming;Видео-слоты;10;5;1;1;250;95.1%;no;yes;yes;yes;yes;no;yes
Geisha Story Slot;Playtech;Видео-слоты;15;5;1;10;10000;95.5%;no;no;yes;yes;yes;yes;yes
Starmania Slot;NextGen Gaming;Видео-слоты;10;5;1;1;500;97.867%;yes;no;yes;yes;yes;yes;yes
Dragon Born Slot;Big Time Gaming;Видео-слоты;117649;6;1;1;50;Неизвестно;no;no;yes;yes;yes;yes;yes
Funky Chicken;WGS Techнетlogy (Vegas Techнетlogy);Классические слоты;25;5;1;1;5000;Неизвестно;no;no;yes;yes;yes;no;yes
Sale of the Century Slot;NextGen Gaming;Видео-слоты;25;5;1;1;5000;95.5%;yes;no;yes;yes;yes;no;yes
Wacky Waters Slot;Playtech;Видео-слоты;15;5;1;1;3000;Неизвестно;no;no;yes;yes;yes;yes;yes
Bruce Lee Slot;iSoftBet;Видео-слоты;243;5;1;5;2500;Неизвестно;no;no;yes;yes;yes;yes;yes
Religion of Champions Brasil;Pragmatic Play;Видео-слоты;20;5;1;1;1000;Неизвестно;yes;no;yes;yes;yes;no;yes
Shamrock Isle Slot;Rival;Видео-слоты;20;5;1;10;5000;95%;yes;no;yes;yes;yes;yes;yes
Platinum Lightning Slot;BGAMING;Видео-слоты;25;5;1;1;8888;Неизвестно;no;no;yes;yes;yes;no;yes
City Life;888 Gaming;Видео-слоты;20;5;1;1;1500;96%;yes;no;yes;yes;yes;yes;no
Crazy Jungle Slot;Pragmatic Play;Видео-слоты;15;5;1;1;9000;Неизвестно;yes;no;yes;yes;yes;no;yes
Fumi's Fortune;Amaya (Chartwell);Видео-слоты;25;5;1;1;1000;Неизвестно;no;no;yes;yes;yes;yes;yes
Beauty Salon Slot;Pragmatic Play;Видео-слоты;20;5;1;1;8000;Неизвестно;yes;no;yes;yes;yes;yes;yes
Bruce Lee - Dragon's Tale;WMS (Williams Interactive);Видео-слоты;80;5;1;1;2;95.92%;no;no;yes;yes;yes;yes;yes
Magic Wand;WMS (Williams Interactive);Видео-слоты;25;5;1;1;25;96%;no;no;yes;yes;yes;no;yes
Capt Quid's Treasure Quest Slot;IGT (WagerWorks);Видео-слоты;15;5;1;1;10000;95%;yes;no;yes;yes;yes;yes;yes
Bunko Bonanza;Real Time Gaming;Прогрессивные слоты;20;5;1;1;Прогрессивный;95%;no;yes;yes;yes;yes;yes;yes
Bonus Bears;Playtech;Видео-слоты;25;5;1;10;5000;95.17%;yes;no;yes;yes;yes;yes;yes
Ninja Chef Slot;iSoftBet;Видео-слоты;30;5;1;10;1000;Неизвестно;yes;no;yes;yes;yes;no;yes
